Date,Open,High,Low,Close,Adj Close,Volume
18-09-2018,26757,26901.05078,26407.44922,26441.44922,26441.44922,0
19-09-2018,26532,26611.59961,26235.69922,26277.34961,26277.34961,0
21-09-2018,26331.05078,26490.40039,25053.34961,25596.90039,25596.90039,0
24-09-2018,25645.05078,25649.69922,24904.5,24970.34961,24970.34961,0
25-09-2018,24947.69922,25406.94922,24678.25,25330.34961,25330.34961,0
26-09-2018,25525.09961,25525.09961,25197.34961,25376.30078,25376.30078,0
27-09-2018,25442.09961,25452.5,25007.05078,25042.15039,25042.15039,0
28-09-2018,25135.80078,25354.69922,24919.25,25119.84961,25119.84961,0
01-10-2018,24943.90039,25412.15039,24707.65039,25367,25367,0
03-10-2018,25290.55078,25470.05078,25026.34961,25069.90039,25069.90039,253300
04-10-2018,24735.15039,24893.40039,24501.05078,24819.30078,24819.30078,0
05-10-2018,24741.65039,25080.19922,24250.65039,24443.44922,24443.44922,0
08-10-2018,24470.75,24745.34961,24240.05078,24618.34961,24618.34961,0
09-10-2018,24703.65039,24759.90039,24464.90039,24527.65039,24527.65039,0
10-10-2018,24596.59961,25371.15039,24559.90039,25321.69922,25321.69922,0
11-10-2018,24541.75,24940.09961,24493.69922,24783.94922,24783.94922,0
12-10-2018,25001.94922,25484.19922,24975.44922,25395.84961,25395.84961,0
15-10-2018,25444,25466.19922,25147.80078,25388.05078,25388.05078,0
16-10-2018,25414.19922,25707.05078,25351.80078,25589.65039,25589.65039,0
17-10-2018,25839.09961,25915.34961,25101.94922,25188.59961,25188.59961,0
19-10-2018,24966.5,25277.90039,24922.65039,25085.80078,25085.80078,0
22-10-2018,25484.25,25504.75,25021.34961,25078.59961,25078.59961,0
23-10-2018,24786.90039,25124.59961,24784.90039,24972.44922,24972.44922,0
24-10-2018,25312.69922,25356.90039,24839.65039,25064.19922,25064.19922,0
25-10-2018,24841.5,24977.34961,24696.84961,24817.44922,24817.44922,0
26-10-2018,24771.84961,24771.94922,24353.09961,24421.05078,24421.05078,0
29-10-2018,24647.94922,25023.75,24404.55078,24959.69922,24959.69922,0
30-10-2018,24924.75,25121.5,24686.84961,24807.75,24807.75,0
31-10-2018,24823.80078,25201.30078,24528.34961,25153.25,25153.25,0
01-11-2018,25285.19922,25401.59961,25129.44922,25323.65039,25323.65039,0
02-11-2018,25545.34961,25856.25,25499.15039,25701.65039,25701.65039,0
05-11-2018,25731.55078,25788.19922,25534.40039,25732.19922,25732.19922,0
06-11-2018,25747.40039,25860.75,25558.34961,25598,25598,0
07-11-2018,25818.09961,25824.40039,25698.09961,25737.5,25737.5,0
09-11-2018,25742.55078,25822.75,25598.75,25771,25771,0
12-11-2018,25816.15039,25907.19922,25495.09961,25539.75,25539.75,0
13-11-2018,25422,25796.5,25384.55078,25768.59961,25768.59961,0
14-11-2018,25952.40039,26045.05078,25806.69922,25930.15039,25930.15039,0
15-11-2018,25946.19922,26197.59961,25728,26154.75,26154.75,0
16-11-2018,26205.34961,26332.75,26122.55078,26245.55078,26245.55078,0
19-11-2018,26364.59961,26379.09961,26204.34961,26300.69922,26300.69922,0
20-11-2018,26211.5,26259.40039,26041.80078,26113.34961,26113.34961,0
21-11-2018,26105.44922,26342.05078,26060.55078,26262.05078,26262.05078,0
22-11-2018,26233.65039,26323.94922,25947.84961,25999.44922,25999.44922,0
26-11-2018,26096,26396.59961,26025.05078,26365.59961,26365.59961,0
27-11-2018,26286.09961,26491.25,26268.65039,26443.09961,26443.09961,0
28-11-2018,26489.65039,26584.94922,26419.65039,26457.94922,26457.94922,0
29-11-2018,26641.59961,27003.75,26577.15039,26939.59961,26939.59961,0
30-11-2018,27009.30078,27012.69922,26764.90039,26862.94922,26862.94922,0
03-12-2018,27032.90039,27037.09961,26791.65039,26857.55078,26857.55078,0
04-12-2018,26809.5,26843.80078,26644.75,26693.80078,26693.80078,0
05-12-2018,26572.09961,26627.34961,26443.65039,26519.59961,26519.59961,0
06-12-2018,26339.09961,26359.90039,26149.44922,26198.30078,26198.30078,0
07-12-2018,26307.40039,26659.69922,26252.09961,26594.30078,26594.30078,0
10-12-2018,26073.65039,26336.19922,26072,26102.65039,26102.65039,0
11-12-2018,25602.25,26227.90039,25598.94922,26163.40039,26163.40039,0
12-12-2018,26286.25,26672.69922,26214.75,26643.84961,26643.84961,0
13-12-2018,26844.15039,26951.44922,26723.65039,26816.34961,26816.34961,0
14-12-2018,26810.84961,26909,26732.69922,26826,26826,0
17-12-2018,26915.44922,27051.40039,26908.59961,27015.80078,27015.80078,0
18-12-2018,26917.30078,27210.05078,26840.80078,27174.69922,27174.69922,0
19-12-2018,27229.05078,27364.34961,27214.30078,27298.40039,27298.40039,0
20-12-2018,27128.65039,27309.09961,27084.5,27275.09961,27275.09961,0
21-12-2018,27261.25,27369.09961,26823.09961,26869.65039,26869.65039,0
24-12-2018,26877.05078,26934.84961,26676.94922,26714.75,26714.75,0
26-12-2018,26634,27029.15039,26408.15039,26986.80078,26986.80078,0
27-12-2018,27200.65039,27239.94922,26845.09961,26878.55078,26878.55078,0
28-12-2018,27048.40039,27213.44922,27039.59961,27125.25,27125.25,0
31-12-2018,27267.80078,27286.5,27105,27160.19922,27160.19922,0
01-01-2019,null,null,null,null,null,null
02-01-2019,27297,27397.55078,27077.59961,27174.69922,27174.69922,0
03-01-2019,27181.59961,27206.19922,26923.75,26959.84961,26959.84961,0
04-01-2019,26999.69922,27274.5,26926.09961,27195,27195,0
07-01-2019,27378.65039,27477.80078,27279.55078,27304.55078,27304.55078,0
08-01-2019,27301.90039,27542.40039,27161.94922,27509.5,27509.5,146100
09-01-2019,27651.25,27754.44922,27409.5,27720.40039,27720.40039,0
10-01-2019,27713.55078,27713.55078,27488.19922,27528.55078,27528.55078,0
11-01-2019,27602.80078,27612.44922,27382.44922,27453.90039,27453.90039,0
14-01-2019,27389.19922,27389.80078,27182.19922,27248.25,27248.25,0
15-01-2019,27317.55078,27447.55078,27317.09961,27400.75,27400.75,0
16-01-2019,27405.65039,27554.75,27403.05078,27483.69922,27483.69922,0
17-01-2019,27568.59961,27611.55078,27335.15039,27528.75,27528.75,0
18-01-2019,27550.05078,27576.44922,27410.65039,27456.69922,27456.69922,0
21-01-2019,27514.55078,27622.19922,27388.5,27533.59961,27533.59961,0
22-01-2019,27526.55078,27533.34961,27385.40039,27482.25,27482.25,0
23-01-2019,27493.09961,27564.69922,27189.59961,27250.75,27250.75,0
24-01-2019,27273.5,27342.34961,27142.80078,27266.40039,27266.40039,0
25-01-2019,27261.44922,27433.55078,27045.19922,27115.30078,27115.30078,0
28-01-2019,27041.44922,27134.19922,26587.94922,26653.05078,26653.05078,0
29-01-2019,26616.25,26743.84961,26441.55078,26573.40039,26573.40039,0
30-01-2019,26789.75,26916.25,26693.69922,26825.5,26825.5,0
31-01-2019,26969.15039,27325.05078,26891.05078,27295.44922,27295.44922,0
01-02-2019,27334.55078,27533.05078,26930.44922,27085.94922,27085.94922,231600
04-02-2019,26974,27243.80078,26825.55078,27186.59961,27186.59961,0
05-02-2019,27226.05078,27348.25,27153.19922,27271.69922,27271.69922,0
06-02-2019,27326.19922,27428.65039,27294.09961,27402.34961,27402.34961,0
07-02-2019,27424.09961,27589.75,27322.94922,27387.15039,27387.15039,0
08-02-2019,27302.65039,27482.09961,27221.25,27294.40039,27294.40039,0
11-02-2019,27240.5,27305.90039,27151.55078,27227.80078,27227.80078,0
12-02-2019,27166.90039,27286.65039,26988.90039,27010.75,27010.75,0
14-02-2019,26978,27030,26818.05078,26970.59961,26970.59961,0
15-02-2019,27017.19922,27029.94922,26635.25,26794.25,26794.25,0
18-02-2019,26754.59961,26829.94922,26617.69922,26654.25,26654.25,0
19-02-2019,26666.55078,26996.44922,26625.59961,26684.84961,26684.84961,0
20-02-2019,26786,26985.5,26732.65039,26955.5,26955.5,0
21-02-2019,26994.75,27100.90039,26973,27052.40039,27052.40039,0
22-02-2019,26960.05078,26997.34961,26847.80078,26867.55078,26867.55078,0
25-02-2019,26934.19922,27197.09961,26932.65039,27159.25,27159.25,0
26-02-2019,26853.80078,27127.25,26736.59961,26952.94922,26952.94922,0
27-02-2019,27078.09961,27189.44922,26719.40039,26799.30078,26799.30078,0
28-02-2019,26878,26920.5,26762.55078,26789.90039,26789.90039,0
01-03-2019,26941,27076.55078,26928.90039,27043.90039,27043.90039,0
05-03-2019,27068.15039,27580.75,26958.09961,27554.05078,27554.05078,0
06-03-2019,27618.09961,27681.65039,27492.05078,27625.65039,27625.65039,0
07-03-2019,27661,27815.5,27560,27764.59961,27764.59961,0
08-03-2019,27686.15039,27811.34961,27645.40039,27761.80078,27761.80078,0
11-03-2019,27840.09961,28035.59961,27791.25,27966.65039,27966.65039,0
12-03-2019,28168.19922,28488.09961,28142.25,28443.69922,28443.69922,0
13-03-2019,28480.30078,28927.69922,28353.65039,28884.30078,28884.30078,0
14-03-2019,29028.90039,29070.34961,28819.75,28923.09961,28923.09961,0
15-03-2019,29007,29520.69922,28990.84961,29381.44922,29381.44922,0
18-03-2019,29521.59961,29812,29361.65039,29596.09961,29596.09961,0
19-03-2019,29702.59961,29799.75,29547.69922,29767.84961,29767.84961,0
20-03-2019,29769.65039,29885.19922,29633.5,29832.19922,29832.19922,0
22-03-2019,29920.75,30008.09961,29508.69922,29582.5,29582.5,0
25-03-2019,29329.40039,29329.40039,29156.25,29281.19922,29281.19922,0
26-03-2019,29300.40039,29950.15039,29278.5,29882.15039,29882.15039,0
27-03-2019,30034.15039,30262.55078,29790.25,30019.80078,30019.80078,0
28-03-2019,30064.80078,30496.05078,29969.09961,30420.55078,30420.55078,0
01-04-2019,30537.59961,30648.09961,30218.34961,30326.5,30326.5,0
02-04-2019,30450.09961,30452.90039,30155.84961,30354.25,30354.25,0
03-04-2019,30440.84961,30602.55078,30036.25,30093.30078,30093.30078,0
04-04-2019,30147.30078,30245.69922,29809.90039,29904.90039,29904.90039,0
05-04-2019,30002.84961,30174,29850,30084.65039,30084.65039,0
08-04-2019,30201.5,30232.05078,29716.59961,29845.30078,29845.30078,0
09-04-2019,29901.5,30165.05078,29703.55078,30113.84961,30113.84961,0
10-04-2019,29916.59961,30155.75,29768.09961,29803.5,29803.5,0
11-04-2019,29841.84961,29852.25,29640.25,29786.09961,29786.09961,0
12-04-2019,29780.55078,30000.94922,29707,29938.55078,29938.55078,0
15-04-2019,29983.5,30163.09961,29919.09961,30104.25,30104.25,0
16-04-2019,30236.25,30590.94922,30228.19922,30531.34961,30531.34961,0
18-04-2019,30656.5,30669.80078,30142.19922,30223.40039,30223.40039,0
22-04-2019,30282.5,30289.90039,29647.55078,29687.94922,29687.94922,0
23-04-2019,29761.94922,29906.5,29455.44922,29479.69922,29479.69922,0
24-04-2019,29550.5,29914.84961,29435.05078,29860.80078,29860.80078,0
25-04-2019,29927.05078,30057.69922,29511.94922,29561.34961,29561.34961,0
26-04-2019,29764.84961,30048.19922,29563.15039,30013.5,30013.5,0
30-04-2019,29920.40039,29920.40039,29550.05078,29764.80078,29764.80078,0
02-05-2019,29699.80078,29919.34961,29638.80078,29708.59961,29708.59961,0
03-05-2019,29811.65039,30121.75,29795.09961,29954.15039,29954.15039,0
06-05-2019,29626.5,29757.40039,29528.59961,29618.44922,29618.44922,0
07-05-2019,29749.55078,29835.5,29244.25,29288.19922,29288.19922,0
08-05-2019,29261.30078,29261.30078,28951.34961,28994.40039,28994.40039,0
09-05-2019,28893.94922,29040.30078,28784.65039,28884.59961,28884.59961,0
10-05-2019,28927.59961,29202.84961,28900.09961,29040.5,29040.5,0
13-05-2019,29026.65039,29049.05078,28621.09961,28659.94922,28659.94922,0
14-05-2019,28718.75,29058.30078,28582.59961,28829.19922,28829.19922,0
15-05-2019,28925.44922,28983.15039,28555.15039,28616.44922,28616.44922,0
16-05-2019,28625.90039,28947.59961,28525.44922,28855.30078,28855.30078,0
17-05-2019,28881.40039,29559.44922,28856,29450.15039,29450.15039,0
20-05-2019,30230.40039,30827.84961,30111.19922,30759.69922,30759.69922,0
21-05-2019,30862.09961,30926.69922,30265.09961,30308.40039,30308.40039,0
22-05-2019,30410.65039,30675.09961,30268.59961,30526.80078,30526.80078,0
23-05-2019,30962.80078,31705,30292.34961,30409.09961,30409.09961,0
24-05-2019,30685.5,31275.40039,30564.40039,31212.55078,31212.55078,0
27-05-2019,31234.90039,31700.75,31142.5,31647.65039,31647.65039,232000
28-05-2019,31711.30078,31712.40039,31328.59961,31597.90039,31597.90039,0
29-05-2019,31459.25,31546.75,31257.90039,31295.55078,31295.55078,0
30-05-2019,31256.84961,31619.25,31236.09961,31537.09961,31537.09961,0
31-05-2019,31678.90039,31783.59961,30623.05078,31375.40039,31375.40039,0
03-06-2019,31406.05078,31674.59961,31284.69922,31653.65039,31653.65039,0
04-06-2019,31532.90039,31752.69922,31512.94922,31589.05078,31589.05078,0
06-06-2019,31523.94922,31541.5,30800.80078,30857.40039,30857.40039,274600
07-06-2019,30943.15039,31139.59961,30627.05078,31066.55078,31066.55078,0
10-06-2019,31259.19922,31367.40039,30861.30078,31034,31034,0
11-06-2019,31172.25,31399.34961,30973.34961,31265.44922,31265.44922,0
12-06-2019,31219.30078,31222.30078,30911.44922,30965.69922,30965.69922,0
13-06-2019,30876.75,31036.90039,30638.25,30976.09961,30976.09961,0
14-06-2019,30983.44922,31032.65039,30508.94922,30614.34961,30614.34961,0
17-06-2019,30652,30684.05078,30249.40039,30273.25,30273.25,0
18-06-2019,30299.44922,30550.65039,30222.84961,30351,30351,0
19-06-2019,30526.5,30699.15039,30242,30362.09961,30362.09961,0
20-06-2019,30390.19922,30824.55078,30220.69922,30781.09961,30781.09961,0
21-06-2019,30804.94922,30804.94922,30541.5,30628.34961,30628.34961,0
24-06-2019,30680.94922,30783.65039,30528,30602.05078,30602.05078,0
